action,artifact
review,"['TI indicators', 'admin permission', 'ACL scanner report', 'AD event log', 'invesigation', 'incident details', 'antivirus log', 'file reputation', 'results', 'malfind results', 'data', 'USB drive history', 'shellbag data', 'incident', 'indicators', 'ticket', 'ticket', 'ticket', 'case', 'stix object', 'rules', 'analytics', 'ticket', 'ticket', 'sighting', 'ids rule', 'proposed coa', 'ticket', 'ticket', 'risk patch policy', 'blocked file', 'ticket', 'ticket', 'ticket', 'case', 'ticket', 'ticket', 'remediation', 'ioc', 'TI indicators', 'invesigation', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'remediation', 'ticket', 'ioc', 'ioc']"
revoke,"['role session', 'security group rules', 'user session', 'authentication keys', 'VPN credentials', 'security group rules']"
run,"['query', 'health checks', 'report', 'report', 'command', 'patches', 'playbooks', 'response', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'Query', 'playbooks', 'playbooks', 'query', 'query', 'windows executable', 'Windows CPL', 'CMD', 'powershell', 'powershell', 'workflow', 'analyzers', 'math operation', 'playbooks', 'command', 'query', 'script', 'query', 'bash script', 'traversal script', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbook', 'ACL scanner', 'polling task', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbook', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'Whois', 'playbooks', 'playbooks', 'playbooks', 'filter', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'scan', 'query', 'report', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'query', 'Windows CPL', 'powershell', 'workflow', 'workflow', 'math operation', 'math operation', 'playbooks', 'query', 'query', 'query', 'query', 'query', 'query', 'query', 'command', 'command', 'query', 'query', 'query', 'query', 'query', 'query', 'script', 'query', 'query', 'bash script', 'bash script', 'query', 'query', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'query', 'query', 'query', 'query', 'query', 'query', 'query', 'query', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'query', 'query', 'query', 'query', 'query', 'query', 'query', 'polling task', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'polling task', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'filter', 'filter', 'filter', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'playbooks', 'scan']"
sandbox,"['URL', 'hash']"
save,"['VirtusTotal result', 'ids', 'artifact', 'report', 'authenticity check result', 'reporter email address', 'domain quatting result', 'email details', 'incident files', 'attachment extensions', 'attachment number', 'hash attachment', 'attachment sizes', 'attachment names', 'attachment types', 'artifact', 'domain quatting result', 'authenticity check result', 'reporter email address', 'attachment sizes', 'attachment names', 'attachment types', 'incident files', 'attachment number', 'attachment extensions', 'hash attachment', 'attachment names', 'incident files', 'attachment number', 'attachment extensions', 'hash attachment', 'attachment names', 'attachment sizes', 'attachment types', 'incident files', 'attachment number', 'attachment extensions', 'hash attachment']"
scan,"['indicator', 'indicator', 'URL', 'download', 'ID set', 'urls', 'ips', 'hash', 'URL', 'asset', 'URL', 'file', 'URL', 'asset', 'endpoint', 'network', 'patched system', 'asset', 'network', 'network', 'patched system']"
schedule,"['GPO', 'polling task', 'polling task', 'polling task']"
score,"['ips', 'file path', 'ioc', 'ioc']"
screenshot,"['URL', 'URL', 'URL']"
search,"['user', 'iocs', 'process SHA256 hash', 'domain', 'domains', 'domain', 'domain', 'hash', 'indicators', 'user', 'file hash', 'user', 'malware breakout', 'related issues', 'IP address', 'IP address', 'messages', 'CVE', 'results', 'mail', 'issue', 'messages', 'Synk issue', 'team info', 'page', 'page', 'report', 'file', 'fields', 'endpoint', 'explorer.exe', 'whois', 'ssl certificate', 'indicators', 'URL', 'domain', 'file', 'IP', 'topology', 'topology image', 'policy', 'devices', 'applications', 'application connections', 'email gateway', 'issue', 'events', 'asset', 'agent', 'PhishEye', 'SNOW record', 'issue', 'existing ticket', 'existing ticket', 'filter', 'notification', 'hash', 'results', 'domain', 'email', 'attacker', 'asset', 'windows', 'MAC', 'exploit', 'asset', 'vulnerabilities', 'vulnerabilities', 'spam', 'step', 'hostname', 'computer', 'IPS rules', 'hostname', 'IPS rule', 'user logon name', 'ip', 'domain', 'ip', 'whois ip', 'ip reputation', 'owner', 'data', 'assets', 'rule', 'exabeams', 'tags', 'messages', 'gmail', 'events', 'UEBA solution', 'DNS server logs', 'web proxy logs', 'firewall logs', 'malicous IP address', 'suspicous domain', 'malicious communication', 'mailbox', 'email', 'CVE', 'CVE', 'email body attachment ip', 'domain endpoint user', 'user', 'file hash', 'IP address', 'IP address', 'IP address', 'user', 'user', 'issue', 'topology', 'policy', 'devices', 'applications', 'application connections', 'asset', 'PhishEye', 'issue', 'existing ticket', 'existing ticket', 'domain', 'email', 'MAC', 'notification', 'asset', 'notification', 'vulnerabilities', 'notification', 'notification', 'hostname', 'user logon name', 'ip', 'whois ip', 'ip reputation', 'ip reputation', 'whois ip', 'whois ip', 'ip reputation', 'ip reputation', 'whois ip', 'whois ip', 'ip reputation', 'ip reputation', 'whois ip', 'ip reputation', 'whois ip', 'whois ip', 'whois ip', 'whois ip', 'whois ip', 'whois ip', 'whois ip', 'ip reputation', 'ip reputation', 'ip reputation', 'ip reputation', 'ip reputation', 'exabeams', 'gmail']"
seek,['admins permission']
select,"['SLA', 'mitigation', 'indicator', 'response plan', 'heartbeat failure coa', 'heartbeat failure coa', 'heartbeat failure coa', 'coa', 'block ioc', 'indicator', 'coa']"
send,"['email', 'Email', 'Email', 'email', 'email', 'announcement notification', 'notifications', 'email', 'warning email', 'email', 'email', 'response team', 'email', 'custom receipients', 'war room notification', 'card', 'story', 'result email', 'analysis results email', 'error email', 'error email', 'action email', 'result', 'story', 'message', 'email address', 'prompt', 'message', 'alert', 'access granted finding', 'credential exfiltration finding', 'findings', 'SecOps message', 'threat status', 'quarantine command', 'kill command', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'email', 'email', 'credentials', 'email', 'login alert', 'card', 'backup mail', 'notification', 'notification', 'email', 'email', 'email', 'email', 'alert', 'message', 'message', 'message', 'message', 'SLA breaches email', 'sms', 'text message', 'notification', 'API request', 'alert verification', 'costum push', 'mnda', 'pack', 'story', 'summary results', 'ticket update', 'failure', 'microsoft graph mail single email', 'hash', 'text response', 'email', 'email', 'email', 'email', 'email', 'escalation email', 'alert', 'detection alert', 'alert', 'alert', 'help message', 'message', 'message', 'message', 'alert email', 'vulnerability notification', ' vulnerability details', 'notification', 'notification', 'vulnerability details', 'warning', 'workflow complete', 'central failure message', 'workflow complete message', 'workflow status notification', 'blacklist message', 'block message', 'workflow status notification', 'workflow status notification', 'ERD status message', 'Hash status message', 'MD5 hash message', 'EDR status message', 'status message', 'URL message', 'status message', 'status message', 'group message', 'group message', 'group message', 'status', 'IP status message', 'ASA status message', 'ASA status message', 'block status', 'ASA status message', 'block status', 'block status', 'message', 'message', 'message', 'message', 'message', 'unblock message', 'workflow status message', 'block status message', 'host message', 'block message', 'block status message', 'workflow status message', 'host status message', 'host message', 'whitelisted hosts', 'whitelisted hosts', 'host message', 'host message', 'action status message', 'host status message', 'host message', 'block message', 'message', 'block message', 'block message', 'block message', 'workflow status message', 'input', 'workflow status message', 'agent message', 'search notification', 'ip message', 'IP message', 'unblocked IP message', 'blocked IP message', 'status message', 'blocked host message', 'host block status', 'address block status message', 'block message', 'address status message', 'address status message', 'address status message', 'address status message', 'host message', 'workflow status', 'host status message', 'workflow status message', 'workflow status message', 'block status message', 'workflow status message', 'status message', 'workflow status message', 'block status message', 'workflow status message', 'status message', 'incident status message', 'asset detail', 'workflow status message', 'workflow status message', 'workflow status message', 'status message', 'status message', 'status message', 'asset message', 'status message', 'status message', 'asset message', 'asset message', 'assets', 'asset message', 'asset message', 'fixlet notification', 'fixlet notification', 'deploy notification', 'status message', 'fixlet message', 'deploy notification', 'fixlet notification', 'status message', 'status message', 'status message', 'status message', 'status message', 'status message', 'status message', 'failure', 'task status', 'status message', 'status message', 'status message', 'LDAP status', 'status message', 'job status', 'LDAP status', 'status message', 'group status message', 'enrichment status', 'CVE status', 'CVE enrichment status', 'thread details', 'status', 'status message', 'CVE tread details', 'status', 'status message', 'result', 'job status', 'feedback', 'scan report status', 'scan report status', 'domain status message', 'URL lookup status', 'internal IP message', 'status message', 'status message', 'alert status message', 'hash output message', 'UTL screenshot', 'url output message', 'output message', 'workflow status', 'hash XDR results', 'input status message', 'IP enrichment', 'input status message', 'hash output message', 'URL output message', 'IDR alert input summary', 'ip output', 'domain', 'IP status message', 'ip lookup output', ' hash lookup output', 'URL lookup output', ' domain lookup output', 'hash', 'URL', 'ip addresses', 'domain', 'domain report', 'ip addresses report', 'alert information', 'hashes report', 'url', 'ash', 'url report', 'response', 'response', 'test response', 'workflow status message', 'email status message', 'parsing status', 'workflow status message', 'emails', 'search status notification', 'workflow status', 'workflow status', 'email status message', 'email delete request', 'workflow status message', 'report summary', 'log status', 'more help', 'Slack question', 'output message', 'status message', 'output status message', 'output message', 'query status message', 'output status message', 'event', 'finding', 'csv export', 'asset summary', 'search notification', 'severity status message', 'severity status message', 'escalation', 'status update', 'Slack results', 'asset status message', 'asset status message', 'search status message', 'result notification', 'exploit status notification', 'result status notification', 'vulnerabilities', 'result notification', 'asset status message', 'asset status message', 'asset status message', 'remediation summary report', 'multiple reports', 'target status', 'remediation report', 'vulnerabilities status', 'vulnerability search status', 'workflow status', 'workflow status', 'report status', 'message', 'status message', 'exceptions', 'status message', 'status message', 'workings', 'notification email', 'emergency email', 'emergency email', 'automated response', 'timeout notification', 'check status', 'automated response', 'automated response', 'spam notification', 'spam notification', 'security search', 'malicious notification', 'email', 'notification', 'malicious notification', 'automated response', 'auto reply', 'legitimate notification', 'search status notification', 'timeout notification', 'message', 'status message', 'results', 'status message', 'workflow status', 'workflow status', 'compliance search email', 'search status message', 'status message', 'search status message', 'workflow status', 'workflow status', 'email security', 'purge status', 'purge status', 'purge status', 'purge status', 'purge email', 'search message', 'search status', 'email status ', 'respond', 'unquarantine acknowledgement', 'quarantine error', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine', 'quarantine state', 'quarantine state', 'workflow status', 'quarantine state', 'quarantine state', 'quarantine message', 'hosts', 'extraction status', 'extraction status', 'quarantine state', 'quarantine state', 'host status', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'agent status', 'quarantine state', 'quarantine state', 'agent status', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'CISA notification', 'details', 'statue message', 'status message', 'status message', 'status message', 'workflow status', 'parse status', 'query status', 'workflow status', 'revoke status', 'revoke status', 'scan status', 'scan status', 'scan status', 'notification', 'status message', 'status message', 'scan status', 'scan status', 'scan status', 'scan status', 'risk score', 'status message', 'scan status', 'scan status', 'workflow status', 'host status message', 'agent status message', 'detection status message', 'host results', 'domain block status', 'confirmation', 'security notification', 'argument status', 'user query status', 'unlock status', 'unlock status', 'long URL', 'shortening status', 'unshortened URL', 'email', 'cisco command', 'sms', 'ssh command', 'ping', 'ayehu im', 'email', 'email', 'message', 'email', 'message', 'email', 'results email', 'slack message', 'alert results', 'indicator result', 'inicator result', 'group notification', 'attachment', 'notification', 'attachment', 'confirmation email', 'request status', 'alert', 'status message', 'message', 'request status', 'rule', 'message', 'user response', 'escalation email', 'verification prompt', 'file', 'URL', 'alert log', 'high priority ticket', 'workflow error email alert', 'blocked url digest email', 'service ticket', 'workflow error alert email', 'investigation ticket', 'event data', 'endpoint alert', 'blocked file hash digest email', 'generate ticket email', 'email', 'blocked ip digest email', 'workflow email alert', 'email alert', 'ticket', 'email', 'notifications', 'Email', 'Email', 'analysis results email', 'error email', 'error email', 'card', 'card', 'card', 'message', 'message', 'message', 'message', 'error email', 'card', 'login alert', 'action email', 'action email', 'message', 'SLA breaches email', 'SLA breaches email', 'SLA breaches email', 'notification', 'notification', 'action email', 'action email', 'action email', 'action email', 'action email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'alert', 'message', 'vulnerability details', 'status message', 'group message', 'group message', 'group message', 'block status', 'group message', 'group message', 'message', 'message', 'message', 'message', 'group message', 'workflow status message', 'host status message', 'host message', 'host message', 'action status message', 'workflow complete', 'host status message', 'message', 'block message', 'workflow status message', 'input', 'search notification', 'status message', 'workflow complete message', 'status', 'host block status', 'workflow status notification', 'block message', 'workflow status notification', 'address status message', 'address status message', 'host message', 'host message', 'workflow complete', 'host status message', 'workflow status message', 'status message', 'workflow status message', 'workflow status message', 'asset message', 'status message', 'status message', 'assets', 'asset message', 'status message', 'fixlet message', 'deploy notification', 'status message', 'status message', 'workflow status notification', 'CVE enrichment status', 'status message', 'status', 'status message', 'hash output message', 'status message', 'workflow status', 'input status message', 'input status message', 'status message', 'URL output message', 'IDR alert input summary', 'IP status message', 'ip lookup output', ' hash lookup output', ' domain lookup output', 'URL', 'alert information', 'url', 'result', 'response', 'feedback', 'result', 'parsing status', 'search status notification', 'workflow status', 'output message', 'output message', 'output status message', 'event', 'asset status message', 'asset message', 'asset status message', 'host status message', 'search status message', 'result notification', 'search notification', 'result notification', 'asset status message', 'search notification', 'asset status message', 'asset status message', 'multiple reports', 'remediation report', 'vulnerabilities status', 'workflow complete message', 'search notification', 'workflow status', 'report status', 'workflow status notification', 'workflow status notification', 'workflow status notification', 'host message', 'status message', 'status message', 'status message', 'results', 'status message', 'workflow status', 'workflow status', 'purge status', 'purge email', 'search message', 'email status ', 'email security', 'unquarantine acknowledgement', 'extraction status', 'extraction status', 'quarantine state', 'quarantine state', 'workflow status', 'quarantine state', 'quarantine message', 'hosts', 'extraction status', 'extraction status', 'quarantine state', 'host status message', 'quarantine state', 'host status', 'quarantine state', 'workflow status', 'quarantine state', 'workflow status message', 'quarantine state', 'agent status', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine message', 'quarantine state', 'quarantine state', 'quarantine state', 'CISA notification', 'status message', 'status message', 'status message', 'status message', 'query status', 'revoke status', 'revoke status', 'scan status', 'scan status', 'notification', 'asset status message', 'scan status', 'scan status', 'scan status', 'scan status', 'search notification', 'status message', 'scan status', 'security notification', 'argument status', 'user query status', 'unlock status', 'unlock status', 'unshortened URL', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'cisco command', 'email', 'cisco command', 'email', 'cisco command', 'email', 'email', 'cisco command', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'ssh command', 'ping', 'email', 'ping', 'email', 'email', 'email', 'ping', 'ping', 'email', 'ping', 'ping', 'email', 'ping', 'email', 'ping', 'ping', 'email', 'ping', 'ping', 'email', 'email', 'ping', 'email', 'email', 'email', 'email', 'ping', 'email', 'email', 'email', 'ayehu im', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'ping', 'message', 'email', 'email', 'message', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'email', 'status message', 'status message', 'status message', 'status message', 'status message', 'status message', 'status message', 'request status', 'alert', 'request status', 'status message', 'request status', 'alert', 'request status', 'status message', 'rule', 'slack message', 'slack message', 'slack message', 'message', 'escalation email', 'file', 'URL', 'service ticket', 'workflow error alert email', 'workflow error email alert', 'event data', 'endpoint alert', 'blocked file hash digest email', 'generate ticket email', 'email', 'blocked ip digest email', 'service ticket', 'workflow error alert email', 'workflow email alert', 'ticket']"
